source,Player 47,Player 114,Player 127,Player 136,Player 166,Player 299,Player 310,Player 324,Player 348,Player 383,Player 384,Player 394,Player 463,Player 473,Player 597,Player 603,Player 611,Player 621,Player 852,Player 903,Player 51,Player 79,Player 86,Player 134,Player 195,Player 213,Player 309,Player 433,Player 496,Player 513,Player 571,Player 600,Player 702,Player 752,Player 771,Player 799,Player 859,Player 920,Player 942,Player 966,Player 23,Player 107,Player 113,Player 128,Player 161,Player 170,Player 335,Player 520,Player 562,Player 606,Player 678,Player 686,Player 762,Player 819,Player 824,Player 854,Player 878,Player 959,Player 980,Player 995,Player 8,Player 11,Player 13,Player 30,Player 49,Player 58,Player 162,Player 167,Player 253,Player 339,Player 391,Player 442,Player 554,Player 570,Player 763,Player 900,Player 919,Player 921,Player 952,Player 992,Player 85,Player 185,Player 199,Player 278,Player 289,Player 380,Player 395,Player 537,Player 574,Player 585,Player 590,Player 640,Player 689,Player 751,Player 755,Player 764,Player 828,Player 884,Player 887,Player 894
Player 47,0.237037037,0.02962963,0,0.025925926,0,0.051851852,0,0,0.022222222,0.022222222,0.022222222,0,0.051851852,0,0.022222222,0,0.018518519,0,0,0.025925926,0,0,0,0.022222222,0,0,0,0,0,0,0,0.051851852,0,0,0,0.022222222,0.022222222,0,0,0,0,0.025925926,0,0.051851852,0.022222222,0,0.003703704,0,0.025925926,0,0,0,0,0,0.025925926,0,0,0.025925926,0.022222222,0,0,0,0,0,0.044444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025925926,0.051851852,0,0,0.022222222,0,0,0,0.003703704,0,0,0,0,0,0,0,0,0,0,0
Player 114,0.005376344,0.166666667,0.032258065,0.037634409,0.032258065,0.091397849,0.064516129,0.037634409,0.02688172,0.032258065,0.11827957,0,0.010752688,0,0,0.037634409,0.032258065,0.032258065,0.02688172,0.043010753,0,0,0,0.010752688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021505377,0,0,0,0,0,0.032258065,0.032258065,0,0,0,0.037634409,0,0,0,0,0,0.037634409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 127,0.016317016,0.013986014,0.184149184,0.041958042,0,0.06993007,0.041958042,0.027972028,0.013986014,0.041958042,0.013986014,0.016317016,0.041958042,0.027972028,0,0.065268065,0,0.013986014,0.016317016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0.013986014,0,0.027972028,0.016317016,0,0,0,0,0.111888112,0,0.027972028,0.055944056,0.004662005,0,0.016317016,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016317016,0,0.016317016,0,0,0,0,0,0,0.016317016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 136,0.004484305,0.053811659,0.107623318,0.013452915,0.053811659,0.053811659,0.004484305,0.031390135,0.02690583,0.02690583,0.031390135,0.094170404,0.049327354,0,0.02690583,0.02690583,0.01793722,0.031390135,0,0,0,0,0,0,0,0,0,0.02690583,0,0,0,0,0,0,0,0,0,0,0.02690583,0,0,0.031390135,0,0,0,0.022421525,0.031390135,0,0.004484305,0,0,0,0,0.062780269,0,0.031390135,0,0,0.02690583,0,0,0,0,0,0,0,0,0,0,0,0.02690583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02690583,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02690583
Player 166,0,0.059701493,0.029850746,0.059701493,0.054726368,0.029850746,0,0,0.029850746,0.034825871,0.084577114,0,0.029850746,0,0,0.089552239,0,0,0.034825871,0.009950249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029850746,0,0,0.034825871,0.034825871,0,0,0,0,0.034825871,0,0,0,0,0,0.029850746,0,0.029850746,0,0,0,0.029850746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059701493,0,0,0.034825871,0,0,0,0.029850746,0,0,0,0,0,0,0,0.034825871,0,0,0.034825871,0,0.034825871,0
Player 299,0.03255814,0.102325581,0.111627907,0.08372093,0.03255814,0.055813954,0.023255814,0,0.130232558,0,0.046511628,0,0.037209302,0.027906977,0,0,0,0,0.037209302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004651163,0.065116279,0,0,0,0.055813954,0,0,0.027906977,0,0,0.037209302,0.03255814,0.027906977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027906977,0,0,0,0,0,0,0,0,0,0,0
Player 310,0,0.094736842,0.094736842,0,0,0.005263158,0.010526316,0.026315789,0,0.089473684,0,0.005263158,0.031578947,0.036842105,0,0.005263158,0,0.078947368,0,0.063157895,0.031578947,0,0,0,0,0,0,0.031578947,0,0,0,0.031578947,0,0,0,0.031578947,0,0,0,0,0,0,0,0,0,0,0,0.110526316,0,0.005263158,0,0,0.07368421,0.005263158,0.036842105,0.036842105,0,0.026315789,0,0.036842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 324,0,0.050724638,0.007246377,0.050724638,0,0,0.043478261,0.086956522,0,0.007246377,0.086956522,0,0,0,0,0.086956522,0.086956522,0,0.007246377,0,0,0,0,0.050724638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050724638,0,0,0.050724638,0,0.007246377,0.043478261,0,0.036231884,0,0,0,0,0,0.152173913,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0.050724638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 348,0.026871401,0.021113244,0.034548944,0.013435701,0.001919386,0.003838772,0,0.011516315,0.261036468,0,0.046065259,0,0,0.034548944,0.026871401,0,0,0.011516315,0,0.02303263,0,0,0,0,0,0,0,0,0,0,0,0,0.013435701,0,0,0,0,0,0,0,0,0.011516315,0,0,0,0.013435701,0,0,0.02303263,0,0.011516315,0.013435701,0,0,0,0,0.011516315,0,0.161228407,0.011516315,0,0,0,0,0,0,0,0,0,0,0,0.040307102,0.011516315,0,0,0,0.161228407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 383,0,0.039215686,0.058823529,0,0.117647059,0.029411765,0.053921569,0.034313726,0.004901961,0.078431373,0.029411765,0,0.088235294,0,0.029411765,0.034313726,0,0.004901961,0,0,0,0,0,0.029411765,0,0,0,0.029411765,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0.034313726,0,0,0,0,0,0,0,0,0,0,0.034313726,0,0.068627451,0,0,0,0.034313726,0.073529412,0.029411765,0,0,0.034313726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
