source,Player 47,Player 114,Player 127,Player 136,Player 166,Player 299,Player 310,Player 324,Player 348,Player 383,Player 384,Player 394,Player 463,Player 473,Player 597,Player 603,Player 611,Player 621,Player 852,Player 903,Player 51,Player 79,Player 86,Player 134,Player 195,Player 213,Player 309,Player 433,Player 496,Player 513,Player 571,Player 600,Player 702,Player 752,Player 771,Player 799,Player 859,Player 920,Player 942,Player 966,Player 23,Player 107,Player 113,Player 128,Player 161,Player 170,Player 335,Player 520,Player 562,Player 606,Player 678,Player 686,Player 762,Player 819,Player 824,Player 854,Player 878,Player 959,Player 980,Player 995,Player 8,Player 11,Player 13,Player 30,Player 49,Player 58,Player 162,Player 167,Player 253,Player 339,Player 391,Player 442,Player 554,Player 570,Player 763,Player 900,Player 919,Player 921,Player 952,Player 992,Player 85,Player 185,Player 199,Player 278,Player 289,Player 380,Player 395,Player 537,Player 574,Player 585,Player 590,Player 640,Player 689,Player 751,Player 755,Player 764,Player 828,Player 884,Player 887,Player 894
Player 47,0,0.038834951,0,0.033980583,0,0.067961165,0,0,0.029126214,0.029126214,0.029126214,0,0.067961165,0,0.029126214,0,0.024271845,0,0,0.033980583,0,0,0,0.029126214,0,0,0,0,0,0,0,0.067961165,0,0,0,0.029126214,0.029126214,0,0,0,0,0.033980583,0,0.067961165,0.029126214,0,0.004854369,0,0.033980583,0,0,0,0,0,0.033980583,0,0,0.033980583,0.029126214,0,0,0,0,0,0.058252427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033980583,0.067961165,0,0,0.029126214,0,0,0,0.004854369,0,0,0,0,0,0,0,0,0,0,0
Player 114,0.006451613,0,0.038709677,0.04516129,0.038709677,0.109677419,0.077419355,0.04516129,0.032258064,0.038709677,0.141935484,0,0.012903226,0,0,0.04516129,0.038709677,0.038709677,0.032258064,0.051612903,0,0,0,0.012903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025806452,0,0,0,0,0,0.038709677,0.038709677,0,0,0,0.04516129,0,0,0,0,0,0.04516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 127,0.02,0.017142857,0,0.051428571,0,0.085714286,0.051428571,0.034285714,0.017142857,0.051428571,0.017142857,0.02,0.051428571,0.034285714,0,0.08,0,0.017142857,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017142857,0.017142857,0,0.034285714,0.02,0,0,0,0,0.137142857,0,0.034285714,0.068571428,0.005714286,0,0.02,0,0,0.017142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 136,0.004545455,0.054545455,0.109090909,0,0.054545455,0.054545455,0.004545455,0.031818182,0.027272727,0.027272727,0.031818182,0.095454545,0.05,0,0.027272727,0.027272727,0.018181818,0.031818182,0,0,0,0,0,0,0,0,0,0.027272727,0,0,0,0,0,0,0,0,0,0,0.027272727,0,0,0.031818182,0,0,0,0.022727273,0.031818182,0,0.004545455,0,0,0,0,0.063636364,0,0.031818182,0,0,0.027272727,0,0,0,0,0,0,0,0,0,0,0,0.027272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027272727
Player 166,0,0.063157895,0.031578947,0.063157895,0,0.031578947,0,0,0.031578947,0.036842105,0.089473684,0,0.031578947,0,0,0.094736842,0,0,0.036842105,0.010526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031578947,0,0,0.036842105,0.036842105,0,0,0,0,0.036842105,0,0,0,0,0,0.031578947,0,0.031578947,0,0,0,0.031578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063157895,0,0,0.036842105,0,0,0,0.031578947,0,0,0,0,0,0,0,0.036842105,0,0,0.036842105,0,0.036842105,0
Player 299,0.034482759,0.108374384,0.118226601,0.088669951,0.034482759,0,0.024630542,0,0.137931035,0,0.049261084,0,0.039408867,0.02955665,0,0,0,0,0.039408867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004926108,0.068965517,0,0,0,0.059113301,0,0,0.02955665,0,0,0.039408867,0.034482759,0.02955665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02955665,0,0,0,0,0,0,0,0,0,0,0
Player 310,0,0.095744681,0.095744681,0,0,0.005319149,0,0.026595745,0,0.090425532,0,0.005319149,0.031914894,0.037234043,0,0.005319149,0,0.079787234,0,0.063829787,0.031914894,0,0,0,0,0,0,0.031914894,0,0,0,0.031914894,0,0,0,0.031914894,0,0,0,0,0,0,0,0,0,0,0,0.111702128,0,0.005319149,0,0,0.074468085,0.005319149,0.037234043,0.037234043,0,0.026595745,0,0.037234043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 324,0,0.055555556,0.007936508,0.055555556,0,0,0.047619048,0,0,0.007936508,0.095238095,0,0,0,0,0.095238095,0.095238095,0,0.007936508,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0.055555556,0,0.007936508,0.047619048,0,0.03968254,0,0,0,0,0,0.166666666,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 348,0.036363636,0.028571429,0.046753247,0.018181818,0.002597403,0.005194805,0,0.015584416,0,0,0.062337662,0,0,0.046753247,0.036363636,0,0,0.015584416,0,0.031168831,0,0,0,0,0,0,0,0,0,0,0,0,0.018181818,0,0,0,0,0,0,0,0,0.015584416,0,0,0,0.018181818,0,0,0.031168831,0,0.015584416,0.018181818,0,0,0,0,0.015584416,0,0.218181818,0.015584416,0,0,0,0,0,0,0,0,0,0,0,0.054545455,0.015584416,0,0,0,0.218181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Player 383,0,0.042553191,0.063829787,0,0.127659574,0.031914894,0.058510638,0.037234043,0.005319149,0,0.031914894,0,0.095744681,0,0.031914894,0.037234043,0,0.005319149,0,0,0,0,0,0.031914894,0,0,0,0.031914894,0,0,0.031914894,0,0,0,0,0,0,0,0,0,0.037234043,0,0,0,0,0,0,0,0,0,0,0.037234043,0,0.074468085,0,0,0,0.037234043,0.079787234,0.031914894,0,0,0.037234043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
