,id,Dog,Adapts Well to Apartment Living,Drooling Potential,Easy To Groom,Easy To Train,Exercise Needs,Friendly Toward Strangers,General Health,Good For Novice Owners,Prey Drive,Size,Tendency To Bark Or Howl,Tolerates Cold Weather,Wanderlust Potential,Label Result,number_of_people_agreed
0,1,American Foxhound,1.5,1,4.5,2,5,3.5,5,1.5,4,2.5,5,3.5,5,American Foxhound,2
1,2,American Foxhound,1,1.5,5,1.5,4.5,4.5,4.5,1.5,4.5,3.5,5,3.5,4.5,American Foxhound,5
2,3,American Foxhound,1.5,0.5,4.5,2.5,5,4.5,5,2,3.5,2.5,4.5,4,4.5,American Foxhound,4
3,4,American Foxhound,0.5,1,5,2.5,5,4,5,2.5,3.5,3,4.5,4.5,4.5,American Bulldog,3
4,5,American Foxhound,1,1,4.5,2.5,5,3.5,4.5,1.5,4.5,3.5,4.5,3.5,5,Bernedoodle,5
5,6,American Foxhound,1,1.5,5,2.5,4.5,3.5,5,2,3.5,3,4.5,4.5,4.5,Cavalier King Charles Spaniel,2
6,7,American Foxhound,1.5,1.5,5,1.5,5,3.5,4.5,1.5,4,3.5,4.5,4,5,American Foxhound,5
7,8,American Foxhound,0.5,1,5,2.5,5,4.5,4.5,2,4.5,2.5,5,4.5,5,American Foxhound,5
8,9,American Foxhound,1,0.5,4.5,1.5,5,4,5,2.5,4.5,2.5,5,4,5,Shih Tzu,4
9,10,American Foxhound,1,0.5,5,2.5,5,4.5,5,2,4.5,3.5,4.5,4.5,5,American Foxhound,2
10,21,Bernedoodle,2.5,1.5,2.5,4.5,3.5,3.5,4.5,3.5,3.5,3.5,3.5,5,3.5,Bernedoodle,3
11,22,Bernedoodle,3.5,2.5,2.5,4.5,3,3.5,4,3.5,3.5,2.5,3,5,3,Bernedoodle,2
12,23,Bernedoodle,3,1.5,3,3.5,2.5,3.5,4,2.5,3.5,3,3,5,3.5,Bernedoodle,5
13,24,Bernedoodle,2.5,2,2.5,4,3.5,3,3.5,3.5,3.5,3,3.5,5,3,Shih Tzu,4
14,25,Bernedoodle,2.5,2.5,3.5,3.5,2.5,3,4.5,2.5,3.5,3.5,3.5,5,2.5,Bernedoodle,4
15,26,Bernedoodle,3.5,2.5,3,3.5,2.5,2.5,3.5,3,2.5,3,2.5,5,3,Cavalier King Charles Spaniel,5
16,27,Bernedoodle,3,2.5,2.5,4,3.5,3.5,4.5,2.5,3.5,3,2.5,4.5,3,Bernedoodle,3
17,28,Bernedoodle,3,1.5,2.5,4,3.5,3.5,3.5,3.5,2.5,2.5,2.5,5,2.5,Shih Tzu,2
18,29,Bernedoodle,3.5,2,3,4.5,3.5,2.5,4,3,3.5,2.5,3,5,3,Bernedoodle,5
19,30,Bernedoodle,2.5,1.5,2.5,3.5,2.5,3.5,3.5,2.5,3.5,3.5,2.5,5,2.5,American Bulldog,1
20,41,Cavalier King Charles Spaniel,5,1.5,4,3.5,4,4.5,4,4.5,3.5,2,3,2.5,2.5,Cavalier King Charles Spaniel,5
21,42,Cavalier King Charles Spaniel,5,1,3.5,4,4.5,4.5,4,5,2.5,2.5,3.5,2.5,1.5,American Bulldog,5
22,43,Cavalier King Charles Spaniel,5,1.5,4,4.5,4,5,4,5,3.5,2,3,2.5,2,Cavalier King Charles Spaniel,5
23,44,Cavalier King Charles Spaniel,5,0.5,4,4,4,4.5,4,4.5,3.5,1.5,2.5,3.5,2.5,Cavalier King Charles Spaniel,4
24,45,Cavalier King Charles Spaniel,5,1,3.5,4.5,4.5,5,3.5,5,2.5,2.5,2.5,2.5,2.5,Shih Tzu,1
25,46,Cavalier King Charles Spaniel,5,0.5,3.5,4,4,5,4,5,2.5,2,2.5,2.5,2,Cavalier King Charles Spaniel,5
26,47,Cavalier King Charles Spaniel,4.5,1,4.5,3.5,4.5,4.5,4.5,4.5,3,2,2.5,3.5,2,Cavalier King Charles Spaniel,2
27,48,Cavalier King Charles Spaniel,4.5,1,4,4,4,5,3.5,4.5,2.5,2.5,2.5,3,2,Cavalier King Charles Spaniel,2
28,49,Cavalier King Charles Spaniel,5,1,3.5,4,4.5,5,4,5,3,2.5,3.5,3,1.5,Shih Tzu,3
29,50,Cavalier King Charles Spaniel,5,1,4.5,4.5,4.5,5,4.5,5,3.5,2.5,2.5,3,2,Cavalier King Charles Spaniel,5
30,61,Shih Tzu,5,1.5,1,3.5,2,4.5,3,5,4.5,0.5,2,2.5,2,Shih Tzu,5
31,62,Shih Tzu,5,1,1,3.5,2.5,5,3.5,5,4,1.5,2.5,3,1.5,Cavalier King Charles Spaniel,4
32,63,Shih Tzu,4.5,0.5,1,3.5,2,5,2.5,5,4,1,1.5,3,1.5,Bernedoodle,5
33,64,Shih Tzu,5,0.5,1.5,2.5,2.5,5,3,5,4,0.5,2,3.5,1.5,Shih Tzu,5
34,65,Shih Tzu,5,1.5,0.5,3.5,2.5,4.5,2.5,4.5,4.5,1,2.5,2.5,2.5,Shih Tzu,1
35,66,Shih Tzu,4.5,1.5,1.5,3,1.5,4.5,3.5,5,3.5,1.5,1.5,3.5,1.5,Shih Tzu,5
36,67,Shih Tzu,5,0.5,1.5,3,2.5,5,3,5,3.5,1,2.5,2.5,2,Bernedoodle,3
37,68,Shih Tzu,5,1.5,1.5,3.5,2.5,5,2.5,5,4.5,1.5,2.5,2.5,2,Shih Tzu,4
38,69,Shih Tzu,5,0.5,1,3.5,2,5,3.5,5,4.5,1,2.5,3.5,2.5,Shih Tzu,5
39,70,Shih Tzu,5,0.5,1,2.5,2,5,3.5,5,3.5,1,2,3,2,Shih Tzu,5
40,81,American Bulldog,1.5,3.5,3.5,4,4.5,2,3,1.5,4.5,3.5,1.5,2,3.5,Cavalier King Charles Spaniel,1
41,82,American Bulldog,0.5,4.5,3.5,4.5,4,1.5,3.5,1,3.5,3.5,1.5,1.5,3.5,American Bulldog,5
42,83,American Bulldog,0.5,4,4.5,4.5,4,2,2.5,1,3.5,4.5,1.5,2.5,3,American Bulldog,4
43,84,American Bulldog,0.5,4,4.5,4,4.5,1.5,3,1,4.5,4.5,1.5,1.5,2.5,Cavalier King Charles Spaniel,2
44,85,American Bulldog,0.5,4.5,3.5,3.5,3.5,2,3,1,4,4,2,2.5,3.5,Shih Tzu,5
45,86,American Bulldog,1.5,4.5,4.5,4.5,4.5,1.5,3,0.5,4.5,4.5,2,2,2.5,American Bulldog,4
46,87,American Bulldog,1,4,3.5,4.5,4.5,2,3,0.5,3.5,4,2,2,3,Bernedoodle,1
47,88,American Bulldog,1.5,4,3.5,3.5,4.5,1.5,3.5,1.5,3.5,4,2.5,2.5,3,American Bulldog,3
48,89,American Bulldog,0.5,4.5,4,4,3.5,1.5,3,0.5,3.5,4.5,1.5,2,2.5,Bernedoodle,5
49,90,American Bulldog,1,3.5,4.5,4,3.5,2.5,3,1.5,3.5,4,2.5,1.5,3,American Bulldog,1
