Car,Sedan,Sports Car,SUV,Wagon,Minivan,AWD,RWD,Retail Price,Dealer Cost,Engine Size (l),Cylinders,HP,City MPG,Hwy MPG,Weight,Wheel Base,Len,Width,Car Anonymized
GMC Safari SLE,0,0,0,0,1,0,1,25640,23215,4.3,6,190,16,20,4309,111,190,78,45
Honda Odyssey EX,0,0,0,0,1,0,0,27450,24744,3.5,6,240,18,25,4365,118,201,76,26
Kia Sedona LX,0,0,0,0,1,0,0,20615,19400,3.5,6,195,16,22,4802,115,194,75,22
Mazda MPV ES,0,0,0,0,1,0,0,28750,26600,3,6,200,18,25,3812,112,188,72,36
Mercury Monterey Luxury,0,0,0,0,1,0,0,33995,30846,4.2,6,201,16,23,4340,121,202,77,26
Chevrolet Venture LS,0,0,0,0,1,0,0,27020,24518,3.4,6,185,19,26,3699,112,187,72,44
Chrysler Town and Country Limited,0,0,0,0,1,0,0,38380,35063,3.8,6,215,18,25,4331,119,201,79,5
Dodge Caravan SE,0,0,0,0,1,0,0,21795,20508,2.4,4,150,20,26,3862,113,189,79,2
Ford Freestar SE,0,0,0,0,1,0,0,26930,24498,3.9,6,193,17,23,4275,121,201,77,5
Chevrolet Astro,0,0,0,0,1,1,0,26395,23954,4.3,6,190,14,17,4605,111,190,78,34
Ford Focus ZTW,0,0,0,1,0,0,0,17475,16375,2,4,130,26,33,2702,103,178,67,40
Infiniti FX35,0,0,0,1,0,0,1,34895,31756,3.5,6,280,16,22,4056,112,189,76,16
Kia Rio Cinco,0,0,0,1,0,0,0,11905,11410,1.6,4,104,26,33,2447,95,167,66,23
Lexus IS 300 SportCross,0,0,0,1,0,0,1,32455,28647,3,6,215,18,24,3410,105,177,68,2
Mercedes-Benz C240,0,0,0,1,0,0,1,33780,31466,2.6,6,168,19,25,3470,107,179,68,39
Audi S4 Avant Quattro,0,0,0,1,0,1,0,49090,44446,4.2,8,340,15,21,3936,104,179,70,34
BMW 325xi Sport,0,0,0,1,0,1,0,32845,30110,2.5,6,184,19,26,3594,107,176,69,14
Chevrolet Malibu Maxx LS,0,0,0,1,0,0,0,22225,20394,3.5,6,200,22,30,3458,112,188,70,41
Chrysler Pacifica,0,0,0,1,0,0,1,31230,28725,3.5,6,250,17,23,4675,116,199,79,32
Audi A6 3.0 Avant Quattro,0,0,0,1,0,1,0,40840,37060,3,6,220,18,25,4035,109,192,71,37
Acura 3.5 RL 4dr,1,0,0,0,0,0,0,43755,39014,3.5,6,225,18,24,3880,115,197,72,46
Acura 3.5 RL w/Navigation 4dr,1,0,0,0,0,0,0,46100,41100,3.5,6,225,18,24,3893,115,197,72,6
BMW 325Ci 2dr,1,0,0,0,0,0,1,37995,34800,2.5,6,184,19,27,3560,107,177,69,43
BMW 325Ci convertible 2dr,1,0,0,0,0,0,1,28495,26155,2.5,6,184,20,29,3219,107,176,69,43
