name,user_label,true_label,ans
Dog78,Shih Tzu,Shih Tzu,T
Dog78,Shih Tzu,Shih Tzu,T
Dog76,Shih Tzu,Shih Tzu,T
Dog73,Shih Tzu,Shih Tzu,T
Dog64,Shih Tzu,Shih Tzu,T
Dog61,Shih Tzu,Shih Tzu,T
Dog75,Shih Tzu,Shih Tzu,T
Dog65,Shih Tzu,Shih Tzu,T
Dog71,Shih Tzu,Shih Tzu,T
Dog71,Shih Tzu,Shih Tzu,T
Dog70,Shih Tzu,Shih Tzu,T
Dog67,Shih Tzu,Shih Tzu,T
Dog69,Shih Tzu,Shih Tzu,T
Dog63,Shih Tzu,Shih Tzu,T
Dog80,Shih Tzu,Shih Tzu,T
Dog74,Shih Tzu,Shih Tzu,T
Dog77,Shih Tzu,Shih Tzu,T
Dog53,Shih Tzu,Cavalier King Charles Spaniel,F
Dog52,Shih Tzu,Cavalier King Charles Spaniel,F
Dog56,Shih Tzu,Cavalier King Charles Spaniel,F
Dog44,Shih Tzu,Cavalier King Charles Spaniel,F
Dog79,Shih Tzu,Shih Tzu,T
Dog62,Shih Tzu,Shih Tzu,T
Dog72,Shih Tzu,Shih Tzu,T
Dog68,Shih Tzu,Shih Tzu,T
Dog66,Shih Tzu,Shih Tzu,T
Dog47,Shih Tzu,Cavalier King Charles Spaniel,F
Dog43,Shih Tzu,Cavalier King Charles Spaniel,F
Dog41,Shih Tzu,Cavalier King Charles Spaniel,F
Dog54,Shih Tzu,Cavalier King Charles Spaniel,F
Dog46,Shih Tzu,Cavalier King Charles Spaniel,F
Dog13,Bernedoodle,American Foxhound,F
Dog15,Bernedoodle,American Foxhound,F
Dog36,Bernedoodle,Bernedoodle,T
Dog36,Bernedoodle,Bernedoodle,T
Dog1,Bernedoodle,American Foxhound,F
Dog8,Bernedoodle,American Foxhound,F
Dog9,Bernedoodle,American Foxhound,F
Dog20,Bernedoodle,American Foxhound,F
Dog19,Bernedoodle,American Foxhound,F
Dog55,Bernedoodle,Cavalier King Charles Spaniel,F
Dog18,Bernedoodle,American Foxhound,F
Dog49,Bernedoodle,Cavalier King Charles Spaniel,F
Dog3,Bernedoodle,American Foxhound,F
Dog17,Bernedoodle,American Foxhound,F
Dog58,Bernedoodle,Cavalier King Charles Spaniel,F
Dog60,Bernedoodle,Cavalier King Charles Spaniel,F
Dog14,Bernedoodle,American Foxhound,F
Dog4,Bernedoodle,American Foxhound,F
